stockid,stocklong,year,TBbest,TCbest,ERbest,BdivBmsypref,UdivUmsypref,BdivBmgtpref,UdivUmgtpref,TB,SSB,TN,R
ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1913,1.85E+06,7.00E+00,3.78E-06,2.35E+00,2.85E-04,2.35E+00,2.85E-04,,6.60E+05,,5.39E+07
ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1914,1.85E+06,3.00E+01,1.62E-05,2.35E+00,1.22E-03,2.35E+00,1.22E-03,,6.60E+05,,5.39E+07
ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1915,1.85E+06,4.00E+01,2.16E-05,2.35E+00,1.63E-03,2.35E+00,1.63E-03,,6.60E+05,,5.39E+07
ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1916,1.85E+06,5.30E+01,2.86E-05,2.35E+00,2.16E-03,2.35E+00,2.16E-03,,6.60E+05,,5.39E+07
ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1917,1.85E+06,8.20E+01,4.43E-05,2.35E+00,3.34E-03,2.35E+00,3.34E-03,,6.60E+05,,5.39E+07
ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1918,1.85E+06,7.30E+01,3.94E-05,2.35E+00,2.97E-03,2.35E+00,2.97E-03,,6.60E+05,,5.39E+07
ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1919,1.85E+06,2.50E+01,1.35E-05,2.35E+00,1.02E-03,2.35E+00,1.02E-03,,6.60E+05,,5.39E+07
ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1920,1.85E+06,3.10E+01,1.67E-05,2.35E+00,1.26E-03,2.35E+00,1.26E-03,,6.60E+05,,5.39E+07
ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1921,1.85E+06,1.30E+01,7.02E-06,2.35E+00,5.29E-04,2.35E+00,5.29E-04,,6.60E+05,,5.39E+07
ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,1922,1.85E+06,9.00E+00,4.85E-06,2.35E+00,3.66E-04,2.35E+00,3.66E-04,,6.60E+05,,5.39E+07
