# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=326898250
# chain_id=2
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-32.7234,1,0.25,1,1,0,38.5409,-0.955
-32.7234,0,14.3855,0,1,1,32.7407,-0.955
-32.7234,0,2.43117,0,1,1,32.7438,-0.955
-32.629,1,0.239791,1,1,0,33.7396,-0.947291
-28.965,0.987515,0.324332,2,3,0,30.7381,-0.396083
-28.965,0.0618085,0.488674,1,1,0,29.3123,-0.396083
-29.0373,0.997349,0.0469936,3,13,0,29.4617,-0.441636
-29.1134,0.996808,0.07947,1,3,0,29.1578,-0.473798
-29.0534,1,0.140782,1,1,0,29.1076,-0.449198
-29.1535,0.988955,0.259349,2,3,0,29.1813,-0.487968
-29.1535,0.114953,0.469015,1,1,0,29.3436,-0.487968
-28.9837,0.99995,0.0540687,4,15,0,29.1802,-0.410699
-29.4964,0.944977,0.103094,1,3,0,30.4299,-0.576802
-29.2946,0.986295,0.165738,2,3,0,29.7424,-0.529612
-29.5779,0.71048,0.303019,2,3,0,30.329,-0.085594
-28.946,0.984264,0.23474,1,3,0,29.6081,-0.375659
-29.4924,0.610774,0.424721,1,1,0,29.6346,-0.575957
-29.079,1,0.243931,1,1,0,29.3746,-0.460308
-28.9476,1,0.460258,1,1,0,29.0109,-0.377808
-28.9476,0.0129834,0.860678,1,1,0,28.9542,-0.377808
-28.9967,0.998256,0.0840535,3,7,0,29.0398,-0.419307
-29.6132,0.948902,0.157204,2,3,0,29.6313,-0.60024
-28.9749,0.995703,0.251931,2,3,0,29.6471,-0.274716
-28.9749,0.142448,0.459116,1,1,0,29.2872,-0.274716
-29.6988,0.989709,0.0708597,4,15,0,29.9685,-0.0628168
-29.5108,1,0.127103,2,3,0,29.6858,-0.0991743
-28.9506,1,0.232471,2,3,0,29.4624,-0.381444
-29.0051,0.952769,0.420925,1,1,0,29.0378,-0.424438
-29.0051,0.00780284,0.661614,1,1,0,29.0469,-0.424438
-29.0112,0.999822,0.0759237,2,3,0,29.0177,-0.427913
-29.5026,0.959613,0.136678,2,7,0,29.7793,-0.100867
-29.224,1,0.218461,1,1,0,29.4582,-0.168931
-29.4903,0.878435,0.386322,1,3,0,29.5002,-0.575522
-29.4903,1.75621e-06,0.489132,1,1,0,30.6634,-0.575522
-29.1259,0.999365,0.060131,3,11,0,29.6439,-0.200617
-29.9191,0.967106,0.105781,2,7,0,30.2378,-0.653445
-32.9449,0.777861,0.169536,3,7,0,33.9528,-0.972729
-28.956,1,0.165251,2,3,0,32.4013,-0.387524
-29.6336,0.309583,0.285065,2,3,0,33.441,-0.604119
-29.6949,0.997843,0.0839064,1,1,0,29.6996,-0.615456
-29.5588,0.94391,0.143472,2,5,0,30.6804,-0.0893854
-29.7543,0.956794,0.212518,1,1,0,29.8501,-0.052974
-29.0291,1,0.323154,1,1,0,29.4343,-0.241445
-29.0291,0.0195722,0.543448,1,1,0,29.8989,-0.241445
-28.9365,0.999588,0.081573,2,7,0,29.0748,-0.358416
-28.9995,0.99601,0.137338,2,5,0,29,-0.421045
-29.055,0.985718,0.227527,1,1,0,29.0628,-0.449957
-29.055,0.839629,0.365111,1,1,0,29.2584,-0.449957
